rank,cp,ivs,maxlevel,stat-product
1,1291,15 15 15,40,1256832
2,1284,14 15 15,40,1249351
3,1287,15 15 14,40,1245710
4,1285,15 14 15,40,1244976
5,1276,13 15 15,40,1241870
6,1279,14 15 14,40,1238295
7,1278,14 14 15,40,1237565
8,1282,15 15 13,40,1234588
9,1268,12 15 15,40,1234389
10,1281,15 14 14,40,1233958
11,1279,15 13 15,40,1233119
12,1272,13 15 14,40,1230880
13,1270,13 14 15,40,1230154
14,1275,14 15 13,40,1227239
15,1261,11 15 15,40,1226908
16,1273,14 14 14,40,1226613
17,1271,14 13 15,40,1225779
18,1264,12 15 14,40,1223465
19,1278,15 15 12,40,1223465
20,1276,15 14 13,40,1222941
21,1262,12 14 15,40,1222744
22,1275,15 13 14,40,1222206
23,1273,15 12 15,40,1221262
24,1267,13 15 13,40,1219890
25,1253,10 15 15,40,1219427
26,1265,13 14 14,40,1219268
27,1264,13 13 15,40,1218439
28,1270,14 15 12,40,1216183
29,1256,11 15 14,40,1216050
30,1269,14 14 13,40,1215661
31,1255,11 14 15,40,1215333
32,1267,14 13 14,40,1214931
33,1265,14 12 15,40,1213992
34,1259,12 15 13,40,1212541
35,1269,15 15 10,40,1212343
36,1273,15 15 11,40,1212343
37,1245,9 15 15,40,1211946
38,1258,12 14 14,40,1211923
39,1272,15 14 12,40,1211923
40,1270,15 13 13,40,1211294
41,1256,12 13 15,40,1211099
42,1268,15 12 14,40,1210454
43,1267,15 11 15,40,1209405
44,1263,13 15 12,40,1208900
45,1249,10 15 14,40,1208635
46,1261,13 14 13,40,1208382
47,1247,10 14 15,40,1207923
48,1259,13 13 14,40,1207656
49,1258,13 12 15,40,1206723
50,1252,11 15 13,40,1205193
51,1261,14 15 10,40,1205126
52,1266,14 15 11,40,1205126
53,1264,14 14 12,40,1204709
54,1250,11 14 14,40,1204578
55,1238,8 15 15,40,1204464
56,1263,14 13 13,40,1204083
57,1249,11 13 15,40,1203759
58,1261,14 12 14,40,1203249
59,1259,14 11 15,40,1202206
60,1255,12 15 12,40,1201618
61,1241,9 15 14,40,1201220
62,1264,15 15 9,40,1201220
63,1253,12 14 13,40,1201102
64,1263,15 14 10,40,1200906
65,1267,15 14 11,40,1200906
66,1239,9 14 15,40,1200512
67,1252,12 13 14,40,1200381
68,1266,15 13 12,40,1200381
69,1264,15 12 13,40,1199646
70,1250,12 12 15,40,1199453
71,1262,15 11 14,40,1198702
72,1253,13 15 10,40,1197910
73,1258,13 15 11,40,1197910
74,1244,10 15 13,40,1197844
75,1261,15 10 15,40,1197548
76,1257,13 14 12,40,1197495
77,1243,10 14 14,40,1197233
78,1230,7 15 15,40,1196983
79,1255,13 13 13,40,1196873
80,1241,10 13 15,40,1196419
81,1253,13 12 14,40,1196044
82,1252,13 11 15,40,1195007
83,1247,11 15 12,40,1194335
84,1256,14 15 9,40,1194070
85,1246,11 14 13,40,1193823
86,1233,8 15 14,40,1193805
