rank,cp,ivs,maxlevel,stat-product
1,816,15 15 15,40,699123
2,810,14 15 15,40,693297
3,810,15 15 13,40,692527
4,813,15 15 14,40,692527
5,812,15 14 15,40,691178
6,803,13 15 15,40,687471
7,804,14 15 13,40,686756
8,807,14 15 14,40,686756
9,807,15 15 12,40,685932
10,805,14 14 15,40,685418
11,806,15 14 13,40,684658
12,809,15 14 14,40,684658
13,807,15 13 15,40,683234
14,796,12 15 15,40,681645
15,797,13 15 13,40,680985
16,800,13 15 14,40,680985
17,801,14 15 12,40,680216
18,798,13 14 15,40,679659
19,804,15 15 11,40,679336
20,799,14 14 13,40,678952
21,802,14 14 14,40,678952
22,803,15 14 12,40,678137
23,800,14 13 15,40,677540
24,801,15 13 13,40,676788
25,804,15 13 14,40,676788
26,789,11 15 15,40,675819
27,802,15 12 15,40,675289
28,790,12 15 13,40,675214
29,793,12 15 14,40,675214
30,794,13 15 12,40,674500
31,791,12 14 15,40,673899
32,798,14 15 11,40,673675
33,792,13 14 13,40,673247
34,795,13 14 14,40,673247
35,801,15 15 10,40,672741
36,796,14 14 12,40,672486
37,794,13 13 15,40,671846
38,800,15 14 11,40,671617
39,794,14 13 13,40,671148
40,797,14 13 14,40,671148
41,798,15 13 12,40,670342
42,782,10 15 15,40,669993
43,796,14 12 15,40,669662
44,783,11 15 13,40,669443
45,786,11 15 14,40,669443
46,796,15 12 13,40,668918
47,799,15 12 14,40,668918
48,787,12 15 12,40,668783
49,785,11 14 15,40,668139
50,791,13 15 11,40,668014
51,786,12 14 13,40,667541
52,789,12 14 14,40,667541
53,798,15 11 15,40,667344
54,794,14 15 10,40,667135
55,789,13 14 12,40,666835
56,787,12 13 15,40,666153
57,795,15 15 8,40,666145
58,798,15 15 9,40,666145
59,793,14 14 11,40,666020
60,788,13 13 13,40,665508
61,791,13 13 14,40,665508
62,797,15 14 10,40,665096
63,791,14 13 12,40,664756
64,776,9 15 15,40,664167
65,789,13 12 15,40,664034
66,795,15 13 11,40,663897
67,777,10 15 13,40,663672
68,779,10 15 14,40,663672
69,790,14 12 13,40,663344
70,793,14 12 14,40,663344
71,780,11 15 12,40,663067
72,793,15 12 12,40,662548
73,778,10 14 15,40,662379
74,784,12 15 11,40,662353
75,779,11 14 13,40,661836
76,782,11 14 14,40,661836
77,791,14 11 15,40,661783
78,788,13 15 10,40,661528
79,783,12 14 12,40,661184
80,792,15 11 13,40,661049
81,795,15 11 14,40,661049
82,788,14 15 8,40,660594
83,791,14 15 9,40,660594
84,780,11 13 15,40,660459
85,786,13 14 11,40,660423
86,781,12 13 13,40,659868
87,784,12 13 14,40,659868
88,790,14 14 10,40,659554
89,792,15 15 7,40,659550
90,793,15 10 15,40,659400
91,785,13 13 12,40,659170
92,790,15 14 8,40,658575
93,793,15 14 9,40,658575
94,782,12 12 15,40,658407
95,788,14 13 11,40,658364
96,769,8 15 15,40,658341
97,770,9 15 13,40,657901
98,773,9 15 14,40,657901
99,783,13 12 13,40,657770
100,786,13 12 14,40,657770
101,792,15 13 10,40,657451
102,774,10 15 12,40,657351
103,787,14 12 12,40,657026
104,777,11 15 11,40,656692
105,771,9 14 15,40,656619
106,784,13 11 15,40,656222
107,790,15 12 11,40,656177
108,772,10 14 13,40,656130
109,775,10 14 14,40,656130
110,781,12 15 10,40,655922
111,785,14 11 13,40,655540
112,788,14 11 14,40,655540
113,776,11 14 12,40,655532
114,782,13 15 8,40,655043
115,785,13 15 9,40,655043
116,780,12 14 11,40,654826
117,773,10 13 15,40,654766
118,789,15 11 12,40,654753
119,774,11 13 13,40,654228
120,777,11 13 14,40,654228
121,785,14 15 7,40,654054
122,783,13 14 10,40,654011
123,786,14 10 15,40,653905
124,778,12 13 12,40,653584
125,787,15 10 13,40,653179
126,790,15 10 14,40,653179
127,784,14 14 8,40,653087
128,787,14 14 9,40,653087
129,789,15 15 6,40,652954
130,782,13 13 11,40,652832
131,776,11 12 15,40,652779
132,762,7 15 15,40,652515
133,776,12 12 13,40,652195
134,779,12 12 14,40,652195
135,763,8 15 13,40,652130
136,766,8 15 14,40,652130
137,787,15 14 7,40,652055
138,785,14 13 10,40,651972
139,767,9 15 12,40,651635
140,780,13 12 12,40,651505
141,788,15 9 15,40,651455
142,771,10 15 11,40,651031
143,786,15 13 8,40,651006
144,789,15 13 9,40,651006
145,764,8 14 15,40,650859
146,784,14 12 11,40,650709
147,778,12 11 15,40,650661
148,765,9 14 13,40,650425
149,768,9 14 14,40,650425
150,774,11 15 10,40,650316
151,778,13 11 13,40,650031
152,781,13 11 14,40,650031
153,769,10 14 12,40,649881
154,787,15 12 10,40,649806
155,775,12 15 8,40,649492
156,778,12 15 9,40,649492
157,782,14 11 12,40,649297
158,773,11 14 11,40,649229
159,767,9 13 15,40,649072
160,768,10 13 13,40,648588
161,771,10 13 14,40,648588
162,779,13 15 7,40,648557
163,777,12 14 10,40,648469
164,786,15 11 11,40,648457
165,780,13 10 15,40,648410
166,771,11 13 12,40,647998
167,780,14 10 13,40,647736
168,783,14 10 14,40,647736
169,777,13 14 8,40,647599
170,780,13 14 9,40,647599
171,782,14 15 6,40,647513
172,775,12 13 11,40,647299
173,769,10 12 15,40,647152
