rank,cp,ivs,maxlevel,stat-product
1,1499,0 14 11,17.0,1813295
2,1456,0 12 13,17.0,1813227
3,1456,0 10 15,17.0,1812886
4,1499,1 12 11,17.0,1805585
5,1499,1 14 9,17.0,1805517
6,1496,0 13 11,17.0,1805446
7,1456,0 13 12,17.0,1805446
8,1456,1 10 13,17.0,1805379
9,1497,0 11 13,17.0,1805309
10,1456,0 11 14,17.0,1805309
11,1495,0 15 9,17.0,1805309
12,1499,0 15 10,17.0,1805309
13,1456,1 8 15,17.0,1804900
14,1497,0 9 15,17.0,1804900
15,1498,5 14 14,16.5,1799096
16,1495,4 15 14,16.5,1799028
17,1498,4 15 15,16.5,1799028
18,1499,2 12 9,17.0,1797804
19,1499,2 10 11,17.0,1797735
20,1496,1 11 11,17.0,1797701
21,1456,1 11 12,17.0,1797701
22,1496,1 13 9,17.0,1797701
23,1499,1 13 10,17.0,1797701
24,1493,0 12 11,17.0,1797596
25,1496,0 12 12,17.0,1797596
26,1492,0 14 9,17.0,1797528
27,1496,0 14 10,17.0,1797528
28,1497,1 9 13,17.0,1797426
29,1456,1 9 14,17.0,1797426
30,1498,1 15 8,17.0,1797426
31,1493,0 10 13,17.0,1797391
32,1497,0 10 14,17.0,1797391
33,1456,2 8 13,17.0,1797391
34,1494,0 8 15,17.0,1796913
35,1497,1 7 15,17.0,1796878
36,1456,2 6 15,17.0,1796771
37,1495,5 13 14,16.5,1791308
38,1498,5 13 15,16.5,1791308
39,1492,4 14 14,16.5,1791274
40,1495,4 14 15,16.5,1791274
41,1498,6 12 14,16.5,1791274
42,1488,3 15 14,16.5,1791172
43,1492,3 15 15,16.5,1791172
44,1498,5 15 13,16.5,1791172
45,1496,2 11 9,17.0,1789954
46,1499,2 11 10,17.0,1789954
47,1499,3 10 9,17.0,1789954
48,1492,1 12 9,17.0,1789884
49,1496,1 12 10,17.0,1789884
50,1493,1 10 11,17.0,1789816
51,1496,1 10 12,17.0,1789816
52,1496,2 9 11,17.0,1789816
53,1456,2 9 12,17.0,1789816
54,1498,2 13 8,17.0,1789816
55,1499,3 8 11,17.0,1789746
56,1490,0 11 11,17.0,1789746
57,1493,0 11 12,17.0,1789746
58,1489,0 13 9,17.0,1789746
59,1492,0 13 10,17.0,1789746
60,1495,1 14 8,17.0,1789679
61,1493,1 8 13,17.0,1789473
62,1490,0 9 13,17.0,1789473
63,1494,0 9 14,17.0,1789473
64,1492,0 15 8,17.0,1789473
65,1497,1 8 14,17.0,1789473
66,1497,2 7 13,17.0,1789403
67,1456,2 7 14,17.0,1789403
68,1498,2 15 6,17.0,1789403
69,1456,3 6 13,17.0,1789262
70,1490,0 7 15,17.0,1788927
71,1494,1 6 15,17.0,1788856
72,1497,2 5 15,17.0,1788714
73,1456,3 4 15,17.0,1788501
74,1458,0 10 3,17.5,1786432
75,1498,0 6 6,17.5,1786292
76,1499,0 12 1,17.5,1786081
77,1499,0 4 8,17.5,1785800
78,1499,0 2 10,17.5,1785027
79,1499,0 0 12,17.5,1783973
80,1488,4 13 14,16.5,1783520
81,1492,4 13 15,16.5,1783520
82,1492,5 12 14,16.5,1783520
83,1495,5 12 15,16.5,1783520
84,1495,6 11 14,16.5,1783452
85,1485,3 14 14,16.5,1783452
86,1489,3 14 15,16.5,1783452
87,1495,5 14 13,16.5,1783452
88,1498,6 11 15,16.5,1783452
89,1498,6 13 13,16.5,1783452
90,1491,4 15 13,16.5,1783385
91,1482,2 15 14,16.5,1783316
92,1485,2 15 15,16.5,1783316
93,1498,7 10 14,16.5,1783316
94,1497,6 15 11,16.5,1783180
95,1492,2 10 9,17.0,1782103
96,1496,2 10 10,17.0,1782103
97,1489,1 11 9,17.0,1782068
98,1493,1 11 10,17.0,1782068
99,1496,3 9 9,17.0,1782068
100,1499,3 9 10,17.0,1782068
101,1499,3 11 8,17.0,1782068
102,1495,2 12 8,17.0,1782034
103,1486,0 12 9,17.0,1781965
104,1489,0 12 10,17.0,1781965
105,1499,4 8 9,17.0,1781965
106,1490,1 9 11,17.0,1781931
107,1493,1 9 12,17.0,1781931
108,1492,1 13 8,17.0,1781931
109,1486,0 10 11,17.0,1781896
110,1490,0 10 12,17.0,1781896
111,1493,2 8 11,17.0,1781896
112,1496,2 8 12,17.0,1781896
113,1496,3 7 11,17.0,1781792
114,1456,3 7 12,17.0,1781792
115,1498,3 13 6,17.0,1781792
116,1489,0 14 8,17.0,1781760
117,1494,2 14 6,17.0,1781690
118,1498,2 14 7,17.0,1781690
119,1499,4 6 11,17.0,1781617
120,1487,0 8 13,17.0,1781555
121,1490,0 8 14,17.0,1781555
122,1490,1 7 13,17.0,1781520
123,1494,1 7 14,17.0,1781520
124,1491,1 15 6,17.0,1781520
125,1495,1 15 7,17.0,1781520
126,1493,2 6 13,17.0,1781414
127,1497,2 6 14,17.0,1781414
128,1456,4 14 4,17.0,1781339
129,1497,3 5 13,17.0,1781238
130,1456,3 5 14,17.0,1781238
131,1497,3 15 4,17.0,1781238
132,1456,4 4 13,17.0,1780992
133,1487,0 6 15,17.0,1780941
134,1490,1 5 15,17.0,1780834
135,1494,2 4 15,17.0,1780657
136,1497,3 3 15,17.0,1780408
137,1456,4 2 15,17.0,1780089
138,1498,0 7 5,17.5,1778563
139,1497,0 9 3,17.5,1778563
140,1458,1 8 3,17.5,1778563
141,1457,1 10 1,17.5,1778351
142,1495,0 5 6,17.5,1778282
143,1498,0 5 7,17.5,1778282
144,1496,0 11 1,17.5,1778282
145,1457,0 11 2,17.5,1778282
146,1498,1 4 6,17.5,1778139
147,1495,0 3 8,17.5,1777720
148,1499,0 3 9,17.5,1777720
149,1499,0 13 0,17.5,1777720
150,1499,1 2 8,17.5,1777504
151,1496,0 1 10,17.5,1776876
152,1499,0 1 11,17.5,1776876
153,1499,1 0 10,17.5,1776587
154,1485,4 12 14,16.5,1775765
155,1489,4 12 15,16.5,1775765
156,1482,3 13 14,16.5,1775731
157,1485,3 13 15,16.5,1775731
158,1488,5 11 14,16.5,1775731
159,1492,5 11 15,16.5,1775731
160,1491,5 13 13,16.5,1775731
161,1488,4 14 13,16.5,1775698
162,1495,6 12 13,16.5,1775698
163,1492,6 10 14,16.5,1775630
164,1495,6 10 15,16.5,1775630
165,1479,2 14 14,16.5,1775630
166,1482,2 14 15,16.5,1775630
167,1485,3 15 13,16.5,1775597
168,1498,7 11 13,16.5,1775597
169,1494,6 14 11,16.5,1775494
170,1498,6 14 12,16.5,1775494
171,1475,1 15 14,16.5,1775460
172,1479,1 15 15,16.5,1775460
