rank,cp,ivs,maxlevel,stat-product
1,456,15 15 15,40,337845
2,454,15 15 14,40,335342
3,450,14 15 15,40,333513
4,452,15 15 13,40,332840
5,452,15 14 15,40,332647
6,448,14 15 14,40,331043
7,451,15 15 12,40,330337
8,451,15 14 14,40,330183
9,444,13 15 15,40,329182
10,447,14 15 13,40,328572
11,447,14 14 15,40,328382
12,449,15 15 11,40,327834
13,449,15 14 13,40,327719
14,449,15 13 15,40,327449
15,443,13 15 14,40,326744
16,445,14 15 12,40,326102
17,445,14 14 14,40,325950
18,447,15 15 10,40,325332
19,447,15 14 12,40,325255
20,447,15 13 14,40,325024
21,438,12 15 15,40,324851
22,441,13 15 13,40,324305
23,441,13 14 15,40,324118
24,443,14 15 11,40,323631
25,443,14 14 13,40,323517
26,443,14 13 15,40,323251
27,446,15 15 9,40,322829
28,446,15 14 11,40,322791
29,445,15 13 13,40,322598
30,437,12 15 14,40,322444
31,445,15 12 15,40,322252
32,439,13 15 12,40,321867
33,439,13 14 14,40,321717
34,442,14 15 10,40,321161
35,442,14 14 12,40,321085
36,441,14 13 14,40,320857
37,432,11 15 15,40,320519
38,444,15 14 10,40,320327
39,444,15 15 8,40,320327
40,444,15 13 12,40,320173
41,435,12 15 13,40,320038
42,444,15 12 14,40,319865
43,435,12 14 15,40,319853
44,438,13 15 11,40,319428
45,437,13 14 13,40,319316
46,437,13 13 15,40,319053
47,440,14 15 9,40,318690
48,440,14 14 11,40,318652
49,440,14 13 13,40,318462
50,431,11 15 14,40,318145
51,439,14 12 15,40,318120
52,442,15 14 9,40,317863
53,442,15 15 7,40,317824
54,442,15 13 11,40,317747
55,433,12 15 12,40,317632
56,433,12 14 14,40,317484
57,442,15 12 13,40,317478
58,442,15 11 15,40,317054
59,436,13 15 10,40,316990
60,436,13 14 12,40,316915
61,436,13 13 14,40,316690
62,438,14 14 10,40,316220
63,438,14 15 8,40,316220
64,427,10 15 15,40,316188
65,438,14 13 12,40,316068
66,429,11 15 13,40,315771
67,438,14 12 14,40,315764
68,429,11 14 15,40,315588
69,440,15 14 8,40,315399
70,440,15 13 10,40,315322
71,440,15 15 6,40,315322
72,432,12 15 11,40,315225
73,432,12 14 13,40,315114
74,440,15 12 12,40,315091
75,431,12 13 15,40,314855
76,440,15 11 14,40,314706
77,434,13 15 9,40,314552
78,434,13 14 11,40,314514
79,434,13 13 13,40,314327
80,434,13 12 15,40,313989
81,425,10 15 14,40,313846
82,436,14 14 9,40,313788
83,436,14 15 7,40,313750
84,436,14 13 11,40,313673
85,436,14 12 13,40,313407
86,428,11 15 12,40,313397
87,428,11 14 14,40,313250
88,436,14 11 15,40,312989
89,439,15 14 7,40,312935
90,439,15 13 9,40,312896
91,430,12 15 10,40,312819
92,439,15 15 5,40,312819
93,430,12 14 12,40,312745
94,439,15 12 11,40,312704
95,430,12 13 14,40,312523
96,438,15 11 13,40,312357
97,432,13 14 10,40,312113
98,432,13 15 8,40,312113
99,432,13 13 12,40,311963
100,421,9 15 15,40,311857
101,438,15 10 15,40,311857
102,432,13 12 14,40,311663
103,423,10 15 13,40,311504
104,435,14 14 8,40,311355
105,423,10 14 15,40,311323
106,435,14 13 10,40,311279
107,435,14 15 6,40,311279
108,435,14 12 12,40,311051
109,426,11 15 11,40,311022
110,426,11 14 13,40,310913
111,434,14 11 14,40,310671
112,426,11 13 15,40,310657
113,437,15 13 8,40,310471
114,437,15 14 6,40,310471
115,428,12 15 9,40,310413
116,428,12 14 11,40,310376
117,437,15 12 10,40,310317
118,437,15 15 4,40,310317
119,428,12 13 13,40,310191
120,437,15 11 12,40,310009
121,428,12 12 15,40,309857
122,431,13 14 9,40,309712
123,431,13 15 7,40,309675
124,431,13 13 11,40,309600
125,419,9 15 14,40,309546
126,436,15 10 14,40,309546
127,431,13 12 13,40,309337
128,422,10 15 12,40,309161
129,422,10 14 14,40,309017
130,430,13 11 15,40,308925
131,433,14 14 7,40,308923
132,433,14 13 9,40,308885
133,433,14 15 5,40,308809
134,433,14 12 11,40,308695
135,424,11 15 10,40,308648
136,424,11 14 12,40,308575
137,424,11 13 14,40,308356
138,433,14 11 13,40,308352
139,435,15 13 7,40,308045
140,427,12 14 10,40,308006
141,427,12 15 8,40,308006
142,435,15 14 5,40,308006
143,435,15 12 9,40,307929
144,427,12 13 12,40,307858
145,432,14 10 15,40,307858
146,435,15 15 3,40,307814
147,435,15 11 11,40,307660
148,426,12 12 14,40,307562
149,415,8 15 15,40,307525
150,429,13 14 8,40,307311
151,418,9 15 13,40,307236
152,429,13 13 10,40,307236
153,429,13 15 6,40,307236
154,435,15 10 13,40,307236
155,417,9 14 15,40,307059
156,429,13 12 12,40,307011
157,420,10 15 11,40,306819
158,420,10 14 13,40,306711
159,434,15 9 15,40,306659
160,429,13 11 14,40,306636
161,431,14 13 8,40,306490
162,431,14 14 6,40,306490
163,420,10 13 15,40,306459
164,431,14 12 10,40,306338
165,431,14 15 4,40,306338
166,423,11 15 9,40,306274
167,423,11 14 11,40,306237
168,423,11 13 13,40,306055
169,431,14 11 12,40,306034
170,422,11 12 15,40,305726
171,425,12 14 9,40,305637
172,434,15 13 6,40,305619
173,425,12 15 7,40,305600
174,431,14 10 14,40,305578
175,433,15 12 8,40,305542
176,433,15 14 4,40,305542
177,425,12 13 11,40,305526
178,433,15 11 10,40,305311
179,433,15 15 2,40,305311
180,425,12 12 13,40,305267
181,413,8 15 14,40,305247
182,416,9 15 12,40,304926
183,433,15 10 12,40,304926
184,427,13 14 7,40,304911
185,427,13 13 9,40,304873
186,425,12 11 15,40,304860
187,427,13 15 5,40,304798
188,416,9 14 14,40,304784
189,427,13 12 11,40,304686
190,419,10 15 10,40,304477
191,419,10 14 12,40,304405
192,433,15 9 14,40,304387
193,427,13 11 13,40,304348
194,418,10 13 14,40,304189
195,430,14 13 7,40,304096
196,430,14 14 5,40,304058
197,430,14 12 9,40,303982
198,421,11 14 10,40,303900
199,421,11 15 8,40,303900
200,430,14 15 3,40,303868
201,427,13 10 15,40,303860
202,421,11 13 12,40,303754
203,429,14 11 11,40,303716
204,421,11 12 14,40,303461
205,429,14 10 13,40,303298
206,423,12 14 8,40,303268
207,409,7 15 15,40,303194
208,423,12 13 10,40,303194
209,423,12 15 6,40,303194
210,432,15 13 5,40,303194
211,432,15 12 7,40,303155
212,432,15 14 3,40,303078
213,423,12 12 12,40,302972
214,412,8 15 13,40,302969
215,432,15 11 9,40,302963
216,432,15 15 1,40,302809
217,412,8 14 15,40,302794
218,429,14 9 15,40,302727
219,414,9 15 11,40,302616
220,431,15 10 11,40,302616
221,423,12 11 14,40,302602
222,414,9 14 13,40,302510
223,426,13 13 8,40,302510
224,426,13 14 6,40,302510
225,426,13 12 10,40,302360
226,426,13 15 4,40,302360
227,414,9 13 15,40,302261
228,417,10 15 9,40,302135
229,431,15 9 13,40,302116
230,417,10 14 11,40,302099
231,425,13 11 12,40,302060
232,417,10 13 13,40,301919
233,428,14 13 6,40,301701
234,428,14 12 8,40,301625
235,428,14 14 4,40,301625
236,425,13 10 14,40,301609
237,417,10 12 15,40,301595
238,419,11 14 9,40,301562
239,419,11 15 7,40,301525
240,431,15 8 15,40,301461
241,419,11 13 11,40,301452
242,428,14 11 10,40,301397
243,428,14 15 2,40,301397
244,419,11 12 13,40,301197
245,427,14 10 12,40,301017
246,408,7 15 14,40,300948
247,422,12 14 7,40,300899
248,422,12 13 9,40,300862
249,419,11 11 15,40,300795
250,422,12 15 5,40,300788
251,430,15 12 6,40,300768
252,430,15 13 4,40,300768
253,410,8 15 12,40,300691
254,422,12 12 11,40,300676
255,430,15 11 8,40,300614
256,430,15 14 2,40,300614
257,410,8 14 14,40,300551
258,427,14 9 14,40,300485
259,421,12 11 13,40,300343
260,413,9 15 10,40,300306
261,430,15 10 10,40,300306
262,430,15 15 0,40,300306
263,413,9 14 12,40,300235
264,424,13 13 7,40,300146
265,424,13 14 5,40,300109
266,424,13 12 9,40,300034
267,413,9 13 14,40,300022
268,424,13 15 3,40,299921
269,421,12 10 15,40,299862
270,429,15 9 12,40,299844
271,415,10 14 10,40,299793
272,415,10 15 8,40,299793
273,424,13 11 11,40,299771
274,415,10 13 12,40,299649
275,415,10 12 14,40,299361
276,424,13 10 13,40,299359
277,426,14 13 5,40,299307
278,426,14 12 7,40,299269
279,429,15 8 14,40,299228
280,418,11 14 8,40,299224
281,426,14 14 3,40,299193
282,418,11 13 10,40,299151
283,418,11 15 6,40,299151
284,426,14 11 9,40,299079
285,418,11 12 12,40,298932
286,426,14 15 1,40,298927
287,403,6 15 15,40,298863
288,423,13 9 15,40,298796
289,426,14 10 11,40,298737
290,406,7 15 13,40,298702
291,417,11 11 14,40,298567
292,406,7 14 15,40,298529
293,420,12 13 8,40,298529
294,420,12 14 6,40,298529
295,409,8 15 11,40,298413
296,420,12 12 10,40,298381
297,420,12 15 4,40,298381
298,428,15 12 5,40,298381
299,428,15 13 3,40,298343
300,409,8 14 13,40,298308
301,428,15 11 7,40,298266
302,426,14 9 13,40,298243
303,428,15 14 1,40,298150
304,420,12 11 12,40,298085
305,408,8 13 15,40,298063
306,411,9 15 9,40,297996
307,428,15 10 9,40,297996
308,411,9 14 11,40,297961
309,411,9 13 13,40,297783
310,422,13 13 6,40,297783
311,422,13 12 8,40,297708
312,422,13 14 4,40,297708
313,420,12 10 14,40,297641
314,425,14 8 15,40,297596
315,428,15 9 11,40,297573
316,414,10 14 9,40,297487
317,422,13 11 10,40,297483
318,422,13 15 2,40,297483
319,411,9 12 15,40,297463
320,414,10 15 7,40,297451
321,414,10 13 11,40,297379
322,414,10 12 13,40,297127
323,422,13 10 12,40,297108
324,427,15 8 13,40,296995
325,425,14 12 6,40,296912
326,425,14 13 4,40,296912
327,416,11 14 7,40,296887
328,416,11 13 9,40,296850
329,416,11 15 5,40,296777
330,424,14 11 8,40,296760
331,424,14 14 2,40,296760
332,413,10 11 15,40,296730
333,416,11 12 11,40,296667
334,402,6 15 14,40,296649
335,422,13 9 14,40,296583
336,404,7 15 12,40,296456
337,424,14 10 10,40,296456
338,424,14 15 0,40,296456
339,416,11 11 13,40,296339
340,404,7 14 14,40,296318
341,427,15 7 15,40,296264
342,419,12 13 7,40,296197
343,418,12 14 5,40,296160
344,407,8 15 10,40,296135
345,418,12 12 9,40,296086
346,407,8 14 12,40,296065
347,424,14 9 12,40,296000
348,427,15 12 4,40,295994
349,418,12 15 3,40,295975
350,427,15 11 6,40,295917
351,427,15 13 2,40,295917
352,415,11 10 15,40,295864
353,407,8 13 14,40,295855
354,418,12 11 11,40,295827
355,410,9 14 10,40,295686
356,410,9 15 8,40,295686
357,426,15 10 8,40,295686
358,426,15 14 0,40,295686
359,410,9 13 12,40,295544
360,418,12 10 13,40,295420
361,421,13 13 5,40,295420
362,423,14 8 14,40,295392
363,421,13 12 7,40,295382
364,421,13 14 3,40,295307
365,426,15 9 10,40,295301
366,409,9 12 14,40,295260
367,421,13 11 9,40,295195
