rank,cp,ivs,maxlevel,stat-product
1,1500,7 14 15,40,2119607
2,1500,8 15 14,39.5,2115490
3,1499,7 15 14,40,2114920
4,1492,6 15 15,40,2114920
5,1496,7 13 15,40,2108392
6,1500,9 14 15,39.0,2104698
7,1506,8 14 14,39.5,2104355
8,1500,8 14 15,39.5,2104355
9,1495,7 14 14,40,2103789
10,1488,6 14 15,40,2103789
11,1499,8 11 15,40,2101529
12,1493,8 15 15,39.0,2100276
13,1500,10 15 14,38.5,2100043
14,1500,9 15 14,39.0,2099925
15,1504,7 15 15,39.5,2099819
16,1506,8 15 13,39.5,2099584
17,1488,6 15 14,40,2099137
18,1481,5 15 15,40,2099018
19,1495,7 15 13,40,2099018
20,1497,8 15 11,40,2098662
21,1510,9 12 14,39.5,2097510
22,1492,7 12 15,40,2097177
23,1498,8 12 14,40,2097060
24,1496,9 13 15,39.0,2093562
25,1502,8 13 14,39.5,2093221
26,1507,8 13 15,39.5,2093221
27,1509,9 13 13,39.5,2092872
28,1485,6 13 15,40,2092658
29,1491,7 13 14,40,2092658
30,1498,8 13 13,40,2092423
31,1500,9 13 11,40,2091953
32,1495,8 10 15,40,2090230
33,1496,10 14 14,38.5,2088991
34,1500,10 14 15,38.5,2088991
35,1500,11 14 15,38.0,2088886
36,1496,9 14 14,39.0,2088873
37,1502,8 14 13,39.5,2088533
38,1498,10 14 12,39.0,2088291
39,1484,6 14 14,40,2088089
40,1509,9 14 12,39.5,2088064
41,1477,5 14 15,40,2087971
42,1491,7 14 13,40,2087971
43,1493,8 14 11,40,2087617
44,1497,8 14 12,40,2087617
45,1500,9 14 10,40,2087026
46,1499,10 11 15,39.0,2086520
47,1505,9 11 14,39.5,2086293
48,1510,9 11 15,39.5,2086293
49,1488,7 11 15,40,2085962
50,1494,8 11 14,40,2085846
51,1493,10 15 15,38.0,2084721
52,1493,9 15 15,38.5,2084715
53,1496,10 15 13,38.5,2084134
54,1500,11 15 14,38.0,2084029
55,1491,9 15 12,39.0,2084017
56,1495,9 15 13,39.0,2084017
57,1500,12 15 14,37.5,2083703
58,1501,8 15 12,39.5,2083678
59,1477,5 15 14,40,2083354
60,1484,6 15 13,40,2083354
61,1497,10 15 11,39.0,2083315
62,1470,4 15 15,40,2083117
63,1486,7 15 11,40,2083117
64,1490,7 15 12,40,2083117
65,1508,9 15 11,39.5,2083089
66,1498,9 8 15,40,2082949
67,1492,8 15 10,40,2082642
68,1492,9 12 15,39.0,2082426
69,1510,10 15 9,39.5,2082264
70,1503,8 12 15,39.5,2082087
71,1499,11 12 14,38.5,2081972
72,1499,10 12 14,39.0,2081966
73,1499,9 15 9,40,2081930
74,1505,9 12 13,39.5,2081739
75,1487,7 12 14,40,2081526
76,1481,6 12 15,40,2081526
77,1494,8 12 13,40,2081293
78,1496,9 12 11,40,2080826
79,1508,10 9 14,39.5,2079036
80,1491,8 9 15,40,2078932
81,1497,9 9 14,40,2078702
82,1492,10 13 14,38.5,2077938
83,1496,10 13 15,38.5,2077938
84,1496,11 13 15,38.0,2077833
85,1492,9 13 14,39.0,2077821
86,1498,11 13 13,38.5,2077248
87,1494,10 13 12,39.0,2077242
88,1498,10 13 13,39.0,2077242
89,1480,6 13 14,40,2077041
90,1505,9 13 12,39.5,2077016
91,1473,5 13 15,40,2076923
92,1487,7 13 13,40,2076923
93,1489,8 13 11,40,2076571
94,1494,8 13 12,40,2076571
95,1500,11 13 11,39.0,2076432
96,1500,10 13 11,39.5,2076317
97,1496,9 13 10,40,2075984
98,1500,10 6 15,40,2075333
99,1495,10 10 15,39.0,2075302
100,1501,9 10 14,39.5,2075077
101,1506,9 10 15,39.5,2075077
102,1484,7 10 15,40,2074747
103,1490,8 10 14,40,2074632
104,1508,10 10 13,39.5,2074618
105,1497,9 10 13,40,2074285
106,1499,10 10 11,40,2073707
107,1492,10 14 13,38.5,2073165
108,1496,11 14 14,38.0,2073061
109,1491,9 14 13,39.0,2073048
110,1496,12 14 14,37.5,2072736
111,1500,12 14 15,37.5,2072736
112,1473,5 14 14,40,2072389
113,1480,6 14 13,40,2072389
114,1498,11 14 12,38.5,2072356
115,1493,10 14 11,39.0,2072350
116,1500,13 14 15,37.0,2072190
117,1466,4 14 15,40,2072153
118,1482,7 14 11,40,2072153
119,1486,7 14 12,40,2072153
120,1498,12 14 12,38.0,2072143
121,1504,9 14 11,39.5,2072125
122,1488,8 14 10,40,2071681
123,1494,9 7 15,40,2071567
124,1500,11 7 14,39.5,2071448
125,1500,11 14 10,39.0,2071419
126,1506,10 14 9,39.5,2071305
127,1500,10 14 10,39.5,2071305
128,1500,10 7 14,40,2071226
129,1495,9 14 9,40,2070972
