rank,cp,ivs,maxlevel,stat-product
1,1495,1 15 15,23,1564910
2,1498,2 15 14,23,1563740
3,1500,3 15 13,23,1562497
4,1500,0 14 9,23.5,1561847
5,1500,0 11 13,23.5,1560752
6,1496,2 14 15,23,1560618
7,1499,3 14 14,23,1559421
8,1499,0 13 10,23.5,1558865
9,1488,0 15 15,23,1557892
10,1498,0 10 14,23.5,1557344
11,1491,1 15 14,23,1556759
12,1498,0 15 7,23.5,1556249
13,1497,3 13 15,23,1556226
14,1497,0 12 11,23.5,1555762
15,1494,2 15 13,23,1555553
16,1500,4 13 14,23,1555001
17,1497,5 15 15,22.5,1554791
18,1500,1 15 6,23.5,1554763
19,1500,1 12 10,23.5,1554458
20,1496,3 15 12,23,1554274
21,1496,0 9 15,23.5,1553815
22,1489,1 14 15,23,1553651
23,1500,6 15 14,22.5,1553507
24,1496,0 14 8,23.5,1553450
25,1499,4 15 11,23,1552921
26,1499,1 9 14,23.5,1552685
27,1496,0 11 12,23.5,1552537
28,1492,2 14 14,23,1552490
29,1499,1 14 7,23.5,1552013
30,1498,4 12 15,23,1551733
31,1499,1 11 11,23.5,1551279
32,1495,3 14 13,23,1551256
33,1495,0 13 9,23.5,1550529
34,1498,6 14 15,22.5,1550405
35,1498,4 14 12,23,1549950
36,1484,0 15 14,23,1549778
37,1491,2 13 15,23,1549309
38,1494,0 10 13,23.5,1549191
39,1498,1 13 8,23.5,1549140
40,1497,1 8 15,23.5,1549079
41,1500,0 7 13,24,1548740
42,1499,0 12 6,24,1548616
43,1487,1 15 13,23,1548608
44,1500,5 14 11,23,1548571
45,1499,0 15 2,24,1548180
46,1493,3 13 14,23,1548121
47,1497,1 10 12,23.5,1547979
48,1491,4 15 15,22.5,1547942
49,1500,2 8 14,23.5,1547921
50,1493,0 15 6,23.5,1547791
51,1500,2 13 7,23.5,1547675
52,1499,0 9 10,24,1547558
53,1493,0 12 10,23.5,1547487
54,1490,2 15 12,23,1547366
55,1499,5 11 15,23,1547139
56,1496,4 13 13,23,1546860
57,1500,2 10 11,23.5,1546693
58,1493,5 15 14,22.5,1546693
59,1483,0 14 15,23,1546684
60,1496,1 15 5,23.5,1546267
61,1496,1 12 9,23.5,1546145
62,1492,3 15 11,23,1546050
63,1499,7 13 15,22.5,1545921
64,1492,0 9 14,23.5,1545722
65,1498,0 11 7,24,1545629
66,1498,0 14 3,24,1545629
67,1485,1 14 14,23,1545559
68,1499,5 13 12,23,1545527
69,1496,6 15 13,22.5,1545373
70,1492,0 14 7,23.5,1545053
71,1498,0 6 14,24,1545007
72,1492,3 12 15,23,1544867
73,1499,2 12 8,23.5,1544728
74,1499,2 15 4,23.5,1544667
75,1495,4 15 10,23,1544661
76,1495,1 9 13,23.5,1544556
77,1488,2 14 13,23,1544362
78,1492,0 11 11,23.5,1544323
79,1498,2 7 15,23.5,1544237
80,1497,0 8 11,24,1544136
81,1498,7 15 12,22.5,1543982
82,1494,4 12 14,23,1543651
83,1492,5 14 15,22.5,1543605
84,1495,1 14 6,23.5,1543578
85,1498,2 9 12,23.5,1543316
86,1498,5 15 9,23,1543199
87,1491,3 14 12,23,1543092
88,1495,1 11 10,23.5,1543028
89,1497,0 13 4,24,1542953
90,1500,1 8 10,24,1542841
91,1497,0 10 8,24,1542518
92,1484,1 13 15,23,1542393
93,1497,5 12 13,23,1542363
94,1494,6 14 14,22.5,1542330
95,1491,0 13 8,23.5,1542193
96,1491,0 8 15,23.5,1542132
97,1497,2 14 5,23.5,1542027
98,1494,4 14 11,23,1541749
99,1480,0 15 13,23,1541664
100,1500,6 15 8,23,1541664
101,1497,2 11 9,23.5,1541659
102,1499,1 13 3,24,1541341
103,1500,8 12 15,22.5,1541339
104,1487,2 13 14,23,1541240
105,1496,0 5 15,24,1541149
106,1484,3 15 15,22.5,1541092
107,1499,1 10 7,24,1541091
108,1490,0 10 12,23.5,1541037
109,1494,1 8 14,23.5,1541011
110,1500,6 12 12,23,1541005
111,1497,7 14 13,22.5,1540985
112,1493,1 13 7,23.5,1540766
113,1496,0 7 12,24,1540589
114,1483,1 15 12,23,1540458
115,1500,3 14 4,23.5,1540401
116,1496,5 14 10,23,1540334
117,1493,4 11 15,23,1540323
118,1500,3 11 8,23.5,1540216
119,1495,0 12 5,24,1540153
120,1499,1 5 14,24,1540028
121,1489,3 13 13,23,1540015
122,1487,4 15 14,22.5,1539880
123,1496,2 8 13,23.5,1539817
124,1493,1 10 11,23.5,1539788
125,1500,8 14 12,22.5,1539568
126,1495,0 15 1,24,1539531
127,1498,1 7 11,24,1539340
128,1489,0 15 5,23.5,1539333
129,1499,3 6 15,23.5,1539291
130,1495,0 9 9,24,1539282
131,1496,2 13 6,23.5,1539264
132,1489,0 12 9,23.5,1539212
133,1486,2 15 11,23,1539179
134,1493,6 13 15,22.5,1539171
135,1496,5 11 14,23,1539081
136,1499,6 14 9,23,1538846
137,1492,4 13 12,23,1538718
138,1479,0 14 14,23,1538629
139,1489,5 15 13,22.5,1538595
140,1498,1 12 4,24,1538590
141,1499,3 8 12,23.5,1538550
142,1496,2 10 10,23.5,1538466
143,1485,2 12 15,23,1538001
144,1498,1 9 8,24,1537903
145,1496,7 13 14,22.5,1537870
146,1492,1 12 8,23.5,1537832
147,1488,3 15 10,23,1537826
148,1498,1 15 0,24,1537778
149,1492,1 15 4,23.5,1537771
150,1498,6 11 13,23,1537767
151,1499,3 13 5,23.5,1537687
152,1489,0 9 13,23.5,1537630
153,1482,1 14 13,23,1537467
154,1495,5 13 11,23,1537350
155,1492,1 7 15,23.5,1537343
156,1492,6 15 12,22.5,1537240
157,1494,0 11 6,24,1537229
158,1498,3 10 9,23.5,1537070
159,1494,0 14 2,24,1537042
160,1494,0 6 13,24,1536918
161,1488,3 12 14,23,1536820
162,1485,4 14 15,22.5,1536805
163,1488,0 14 6,23.5,1536656
164,1498,8 13 13,22.5,1536498
165,1500,2 9 7,24,1536449
166,1491,1 9 12,23.5,1536427
167,1491,4 15 9,23,1536401
168,1495,2 12 7,23.5,1536379
169,1484,2 14 12,23,1536234
170,1495,2 7 14,23.5,1536194
171,1500,12 15 15,22,1536153
172,1495,2 15 3,23.5,1536133
173,1488,0 11 10,23.5,1536108
174,1497,1 4 15,24,1536090
175,1493,0 8 10,24,1535922
176,1497,6 13 10,23,1535909
177,1495,7 15 11,22.5,1535813
178,1497,1 6 12,24,1535715
179,1497,1 11 5,24,1535715
180,1494,5 10 15,23,1535678
181,1491,4 12 13,23,1535569
182,1488,5 14 14,22.5,1535566
183,1477,0 13 15,23,1535476
184,1496,1 14 1,24,1535340
185,1494,2 9 11,23.5,1535151
186,1491,1 14 5,23.5,1535143
187,1497,3 7 13,23.5,1534974
188,1500,2 4 14,24,1534942
189,1487,3 14 11,23,1534927
190,1494,5 15 8,23,1534902
191,1497,3 12 6,23.5,1534850
192,1491,1 11 9,23.5,1534776
193,1494,7 12 15,22.5,1534637
194,1496,1 8 9,24,1534590
195,1499,2 6 11,24,1534440
196,1493,0 13 3,24,1534429
197,1497,3 15 2,23.5,1534419
198,1497,6 10 14,23,1534410
199,1500,7 13 9,23,1534396
200,1480,1 13 14,23,1534360
201,1497,8 15 10,22.5,1534314
202,1490,6 14 13,22.5,1534255
203,1493,5 12 12,23,1534246
204,1477,2 15 15,22.5,1534243
205,1500,4 5 15,23.5,1534238
206,1492,0 10 7,24,1534180
207,1499,2 11 4,24,1534126
208,1487,0 8 14,23.5,1534100
209,1487,0 13 7,23.5,1533857
210,1497,3 9 10,23.5,1533802
211,1500,4 7 12,23.5,1533681
212,1499,2 14 0,24,1533561
213,1493,2 14 4,23.5,1533554
214,1476,0 15 12,23,1533550
215,1490,4 14 10,23,1533548
216,1486,3 11 15,23,1533507
217,1493,2 11 8,23.5,1533370
218,1496,6 15 7,23,1533331
219,1497,8 12 14,22.5,1533311
220,1500,4 12 5,23.5,1533247
221,1499,2 8 8,24,1533184
222,1483,2 13 13,23,1533171
223,1492,0 5 14,24,1533122
224,1499,7 10 13,23,1533071
225,1480,3 15 14,22.5,1533066
226,1490,1 8 13,23.5,1532943
227,1486,0 10 11,23.5,1532883
228,1493,7 14 12,22.5,1532874
229,1496,6 12 11,23,1532851
230,1495,1 13 2,24,1532778
231,1500,9 15 9,22.5,1532745
232,1495,1 10 6,24,1532715
233,1499,4 15 1,23.5,1532628
234,1493,2 6 15,23.5,1532449
235,1492,0 7 11,24,1532438
236,1486,5 13 15,22.5,1532420
237,1489,1 13 6,23.5,1532392
238,1499,4 9 9,23.5,1532380
239,1479,1 15 11,23,1532307
240,1489,4 11 14,23,1532300
241,1492,5 14 9,23,1532097
242,1495,1 5 13,24,1531965
243,1499,9 12 13,22.5,1531915
244,1486,3 13 12,23,1531910
245,1496,3 11 7,23.5,1531890
246,1496,3 14 3,23.5,1531890
247,1483,4 15 13,22.5,1531817
248,1492,2 8 12,23.5,1531712
249,1491,0 12 4,24,1531691
250,1499,7 15 6,23,1531686
251,1489,1 10 10,23.5,1531598
252,1496,8 14 11,22.5,1531422
253,1498,7 12 10,23,1531385
254,1496,3 6 14,23.5,1531273
255,1498,2 10 5,24,1531175
256,1489,6 13 14,22.5,1531154
257,1494,1 7 10,24,1531152
258,1479,1 12 15,23,1531135
259,1498,2 13 1,24,1531050
260,1492,5 11 13,23,1531023
261,1491,0 9 8,24,1531006
262,1482,2 15 10,23,1530991
263,1485,0 12 8,23.5,1530936
264,1495,6 9 15,23,1530933
265,1498,2 3 15,24,1530924
266,1491,0 15 0,24,1530882
267,1485,0 15 4,23.5,1530875
268,1492,2 13 5,23.5,1530853
269,1497,2 5 12,24,1530736
270,1488,4 13 11,23,1530577
271,1475,0 14 13,23,1530573
272,1495,6 14 8,23,1530573
273,1485,5 15 12,22.5,1530497
274,1485,0 7 15,23.5,1530449
275,1495,3 8 11,23.5,1530410
276,1498,4 11 6,23.5,1530336
277,1492,2 10 9,23.5,1530239
278,1498,4 14 2,23.5,1530150
279,1494,1 12 3,24,1530090
280,1498,4 6 13,23.5,1530026
281,1479,3 14 15,22.5,1530005
282,1495,8 11 15,22.5,1530005
283,1481,2 12 14,23,1529990
284,1498,9 14 10,22.5,1529899
285,1500,0 5 6,24.5,1529828
286,1492,7 13 13,22.5,1529818
287,1497,2 7 9,24,1529794
288,1500,3 3 14,24,1529749
289,1494,6 11 12,23,1529674
290,1498,7 9 14,23,1529639
291,1484,3 15 9,23,1529603
292,1494,1 9 7,24,1529590
293,1494,11 15 15,22,1529588
294,1500,3 10 4,24,1529560
295,1485,0 9 12,23.5,1529537
296,1488,1 12 7,23.5,1529520
297,1500,3 5 11,24,1529434
298,1478,1 14 12,23,1529375
299,1488,1 7 14,23.5,1529336
300,1488,1 15 3,23.5,1529275
301,1500,3 13 0,24,1529245
302,1495,3 13 4,23.5,1529238
303,1490,0 4 15,24,1529202
304,1491,5 13 10,23,1529172
305,1488,6 15 11,22.5,1529106
306,1498,4 8 10,23.5,1529035
307,1497,7 14 7,23,1528976
